,bgn_utm,bulan,presipitasi,sm_smap,tmin,tmax,t,swr,et_era5,irrigation + pres,Provinsi,irigasi
951,D.I. Batu Merah,2022-04,55.6,0.42366666666666664,23.740000000000023,30.24566666666669,26.60900000000002,643052241.9,142.14,174.0400611317644,Nusa Tenggara Timur,118.4400611317644
952,D.I. Batu Merah,2022-05,16.19,0.33838709677419354,23.76612903225809,30.70258064516131,26.835161290322606,604614423.72,109.52,118.34745977354207,Nusa Tenggara Timur,102.15745977354207
954,D.I. Batu Merah,2022-07,22.520000000000003,0.2870967741935484,21.55580645161293,28.45903225806454,24.484516129032286,580006145.17,94.45,95.73689838728049,Nusa Tenggara Timur,73.21689838728048
955,D.I. Batu Merah,2022-08,0.91,0.26129032258064516,22.10677419354841,31.359354838709706,26.161290322580673,658354648.91,62.15,91.7097616618619,Nusa Tenggara Timur,90.79976166186191
956,D.I. Batu Merah,2022-09,14.11,0.24966666666666668,23.115333333333357,32.93933333333335,27.352333333333362,700662847.42,52.09,98.85710429079322,Nusa Tenggara Timur,84.74710429079322
964,D.I. Batujai,2021-05,41.5,0.36709677419354836,24.069677419354868,30.720967741935507,27.02548387096776,626391083.33,91.89,187.47656079980584,Nusa Tenggara Barat,145.97656079980584
966,D.I. Batujai,2021-07,27.54,0.3409677419354839,22.800322580645187,29.51225806451615,25.64419354838712,606712429.38,87.08,151.9755546499707,Nusa Tenggara Barat,124.4355546499707
967,D.I. Batujai,2021-08,11.45,0.3164516129032258,23.38000000000002,30.51322580645163,26.38451612903228,652019940.03,57.51,131.86946695916905,Nusa Tenggara Barat,120.41946695916904
968,D.I. Batujai,2021-09,38.26,0.302,23.82233333333335,29.975333333333364,26.329000000000022,639386720.87,88.18,120.63969743595355,Nusa Tenggara Barat,82.37969743595355
978,D.I. Batujai,2022-07,40.87,0.33548387096774196,22.890322580645183,28.820967741935508,25.398064516129057,600634951.44,111.28,145.81790608628353,Nusa Tenggara Barat,104.94790608628352
979,D.I. Batujai,2022-08,17.01,0.3419354838709677,23.15161290322582,29.660322580645193,25.915483870967766,646420825.93,95.49,165.83129563980083,Nusa Tenggara Barat,148.82129563980084
980,D.I. Batujai,2022-09,48.17,0.3316666666666667,23.593333333333355,29.864000000000022,26.200333333333347,675097659.92,98.44,146.5795143510381,Nusa Tenggara Barat,98.40951435103811
1015,D.I. Bedadung,2021-08,24.25,0.18,22.032903225806475,27.570322580645186,24.528709677419375,562405909.78,101.23,77.53288804611022,Jawa Timur,53.282888046110216
1026,D.I. Bedadung,2022-07,26.64,0.23903225806451614,21.762580645161314,27.208387096774214,24.339677419354867,510102357.71,107.04,131.11354366735188,Jawa Timur,104.47354366735188
1027,D.I. Bedadung,2022-08,39.21,0.21161290322580645,21.620000000000022,27.445806451612928,24.33870967741938,551646711.39,104.91,104.59502554427762,Jawa Timur,65.38502554427762
1036,D.I. Belimbing Kompleks,2021-05,17.33,0.21451612903225808,23.06548387096776,30.263225806451636,26.265161290322606,642952248.26,78.53,152.72464168883724,Nusa Tenggara Barat,135.39464168883723
1038,D.I. Belimbing Kompleks,2021-07,22.15,0.19096774193548388,21.495161290322606,29.189032258064543,24.860000000000024,624949047.86,59.58,130.09997823554906,Nusa Tenggara Barat,107.94997823554905
1039,D.I. Belimbing Kompleks,2021-08,21.05,0.1767741935483871,22.195483870967767,29.71129032258067,25.349677419354865,669903827.03,58.89,124.36848423097459,Nusa Tenggara Barat,103.31848423097459
1047,D.I. Belimbing Kompleks,2022-04,62.1,0.22733333333333333,23.41166666666669,29.279666666666685,25.926666666666687,647937506.19,138.25,155.73126590250087,Nusa Tenggara Barat,93.63126590250087
1050,D.I. Belimbing Kompleks,2022-07,29.599999999999998,0.18129032258064517,21.4735483870968,28.5151612903226,24.5993548387097,619562685.01,86.08,124.22659191862013,Nusa Tenggara Barat,94.62659191862014
1051,D.I. Belimbing Kompleks,2022-08,24.6,0.19741935483870968,22.124838709677444,29.818064516129052,25.445161290322602,672034823.3100001,55.65,145.14290243137697,Nusa Tenggara Barat,120.54290243137697
1060,D.I. Bena,2021-05,27.29,0.35258064516129034,22.845806451612926,28.64903225806454,25.50677419354841,600582633.13,95.47,105.82820512504826,Nusa Tenggara Timur,78.53820512504825
1061,D.I. Bena,2021-06,21.7,0.2936666666666667,22.430333333333362,28.70633333333335,25.195000000000018,523340420.65,56.35,96.65750850021281,Nusa Tenggara Timur,74.95750850021281
1062,D.I. Bena,2021-07,27.18,0.2767741935483871,21.15419354838712,29.05870967741938,24.823870967741957,604624577.06,40.43,91.08298512005794,Nusa Tenggara Timur,63.90298512005794
1063,D.I. Bena,2021-08,0.0,0.25161290322580643,21.9135483870968,29.37870967741938,25.39774193548389,658293998.09,32.77,85.54968026000574,Nusa Tenggara Timur,85.54968026000574
1064,D.I. Bena,2021-09,4.43,0.23766666666666666,23.02366666666669,30.26900000000002,26.236000000000022,703056486.66,35.06,81.5927594000014,Nusa Tenggara Timur,77.16275940000139
1072,D.I. Bena,2022-05,36.74,0.31225806451612903,23.455161290322604,30.063225806451637,26.507741935483892,615111859.64,93.57000000000001,102.26325160148525,Nusa Tenggara Timur,65.52325160148524
1074,D.I. Bena,2022-07,27.29,0.33064516129032256,20.737096774193567,26.33161290322583,23.24193548387099,550527983.77,100.73,102.26511316420037,Nusa Tenggara Timur,74.97511316420037
1075,D.I. Bena,2022-08,0.0,0.28645161290322585,21.50645161290325,28.746774193548408,24.86225806451615,657660474.47,58.69,94.56330264013127,Nusa Tenggara Timur,94.56330264013127
1076,D.I. Bena,2022-09,18.32,0.26166666666666666,22.28900000000002,30.922666666666693,26.27900000000002,719187172.98,48.19,104.09654782005312,Nusa Tenggara Timur,85.77654782005311
1086,D.I. Bengawan Jero,2021-07,23.47,0.26193548387096777,24.223225806451634,30.146774193548406,27.082903225806472,623521215.5,126.92,91.34741438585735,Jawa Timur,67.87741438585735
1087,D.I. Bengawan Jero,2021-08,18.05,0.22516129032258067,24.82096774193551,31.26096774193551,27.848064516129057,690687068.39,101.34,84.12045026389072,Jawa Timur,66.07045026389072
1098,D.I. Bengawan Jero,2022-07,50.68,0.3258064516129032,24.468064516129058,29.52161290322583,26.832580645161315,590662934.0,140.03,147.48641195912074,Jawa Timur,96.80641195912074
1099,D.I. Bengawan Jero,2022-08,24.96,0.31483870967741934,24.676774193548408,30.361612903225833,27.295161290322604,668949733.36,133.04,141.473229583027,Jawa Timur,116.513229583027
1108,D.I. Benlelang,2021-05,22.14,0.31548387096774194,22.41741935483874,26.5277419354839,24.188064516129057,642502925.12,144.21,162.286311921804,Nusa Tenggara Timur,140.146311921804
1109,D.I. Benlelang,2021-06,0.0,0.26966666666666667,22.00700000000002,26.353333333333357,23.813333333333354,575296550.02,112.32,133.13243742665586,Nusa Tenggara Timur,133.13243742665586
1111,D.I. Benlelang,2021-08,9.35,0.2064516129032258,21.643548387096796,27.033225806451636,24.0193548387097,669841175.22,98.2,109.23756203198093,Nusa Tenggara Timur,99.88756203198093
1112,D.I. Benlelang,2021-09,7.8,0.19566666666666668,22.18600000000002,27.804333333333357,24.556000000000026,700378957.42,90.95,102.37420608731279,Nusa Tenggara Timur,94.57420608731279
1113,D.I. Benlelang,2021-10,21.18,0.19,23.41290322580647,29.761935483870996,26.040322580645185,771633941.37,83.25,108.74865060381826,Nusa Tenggara Timur,87.56865060381827
1120,D.I. Benlelang,2022-05,50.15,0.2812903225806452,22.78419354838712,26.680322580645182,24.414193548387114,613567899.28,153.97,148.53076570025974,Nusa Tenggara Timur,98.38076570025973
1121,D.I. Benlelang,2022-06,17.69,0.25933333333333336,22.168000000000024,25.616333333333362,23.581333333333355,485751165.09,133.35,134.8820309760434,Nusa Tenggara Timur,117.19203097604341
1122,D.I. Benlelang,2022-07,29.15,0.2396774193548387,21.211290322580666,25.26032258064518,22.973870967741963,610456224.87,148.97,116.76057605411519,Nusa Tenggara Timur,87.6105760541152
1123,D.I. Benlelang,2022-08,17.37,0.20903225806451614,21.434838709677447,26.358709677419387,23.575161290322598,677476207.97,121.64,108.3176132345183,Nusa Tenggara Timur,90.9476132345183
1124,D.I. Benlelang,2022-09,5.56,0.19233333333333336,21.91733333333336,27.66166666666669,24.430000000000025,710928696.49,107.23,100.26781290449432,Nusa Tenggara Timur,94.70781290449432
1132,D.I. Beron,2021-05,61.45,0.3990322580645161,24.731290322580666,30.86709677419357,27.50000000000002,612217600.71,131.52,155.60474880777457,Jawa Timur,94.15474880777457
1134,D.I. Beron,2021-07,27.669999999999998,0.33096774193548384,23.103870967741962,30.949354838709702,26.82129032258067,626788802.33,118.46,111.99627249484595,Jawa Timur,84.32627249484595
1135,D.I. Beron,2021-08,17.67,0.2890322580645161,23.95096774193551,32.219354838709705,27.743225806451637,686975246.4399999,85.55,104.17786039781451,Jawa Timur,86.50786039781451
1146,D.I. Beron,2022-07,62.01,0.4238709677419355,23.31612903225809,29.94870967741938,26.34032258064519,593309114.79,125.64,176.69217379259996,Jawa Timur,114.68217379259997
1147,D.I. Beron,2022-08,31.83,0.39,23.677741935483894,31.04580645161293,27.009354838709697,667107191.63,118.89,154.14238113889664,Jawa Timur,122.31238113889664
1148,D.I. Beron,2022-09,38.79,0.338,24.337666666666685,32.373000000000026,27.937333333333353,693522734.14,90.42,117.28247259535735,Jawa Timur,78.49247259535736
1180,D.I. Bissua,2021-05,69.97,0.3406451612903226,24.82096774193551,29.680645161290343,27.024838709677443,530728477.77,116.89,249.48895584351544,Sulawesi Selatan,179.51895584351544
1183,D.I. Bissua,2021-08,22.07,0.25225806451612903,24.17451612903228,29.797096774193577,26.781612903225827,570157451.39,121.33,120.53105460981745,Sulawesi Selatan,98.46105460981744
1191,D.I. Bissua,2022-04,112.25999999999999,0.36033333333333334,24.58100000000003,28.99033333333335,26.73766666666668,564994100.36,117.55,282.0571344761145,Sulawesi Selatan,169.79713447611454
1195,D.I. Bissua,2022-08,12.850000000000001,0.26903225806451614,24.090322580645182,29.6209677419355,26.60000000000002,584742537.64,122.31,131.43908043020392,Sulawesi Selatan,118.58908043020392
1206,D.I. Bodri,2021-07,27.81,0.2993548387096774,24.123225806451636,29.307741935483893,26.888709677419378,590780542.2,115.38,139.15962330935093,Jawa Tengah,111.34962330935093
1230,D.I. Bondoyudo,2021-07,33.370000000000005,0.2135483870967742,22.22258064516131,27.88709677419357,24.772903225806477,549000823.08,104.2,91.65694486284514,Jawa Timur,58.28694486284513
1242,D.I. Bondoyudo,2022-07,25.0,0.25612903225806455,22.517096774193572,27.51225806451615,24.73290322580647,500447148.61,101.73,136.520243797192,Jawa Timur,111.520243797192
1243,D.I. Bondoyudo,2022-08,37.699999999999996,0.2264516129032258,22.438387096774214,27.80806451612906,24.781290322580663,544788055.07,104.78,110.7372797109946,Jawa Timur,73.0372797109946
1278,D.I. Boro,2021-07,36.93,0.31709677419354837,22.127419354838732,27.92612903225809,24.95645161290325,570341430.91,122.92,157.67688327823453,Jawa Tengah,120.74688327823452
1291,D.I. Boro,2022-08,45.67,0.34451612903225803,22.38193548387099,27.491612903225832,24.763548387096797,575807086.84,120.2,209.72087393203748,Jawa Tengah,164.05087393203746
1398,D.I. Cacaban,2021-07,30.79,0.23774193548387096,23.71870967741938,30.02838709677422,26.752258064516152,582719983.81,115.83,117.2840689053562,Jawa Tengah,86.49406890535619
1470,D.I. Cihea,2021-07,84.9,0.3703225806451613,19.881935483870986,28.585161290322603,24.223225806451637,584127715.15,130.72,253.11721885265726,Jawa Barat,168.21721885265725
1518,D.I. Cikeusik,2021-07,31.610000000000003,0.2725806451612903,23.786774193548403,30.863548387096795,26.86193548387099,574404207.49,111.86,107.46211397137365,Jawa Barat,75.85211397137365
1542,D.I. Cikunten I,2021-07,82.03,0.2532258064516129,18.835483870967764,25.561612903225825,21.93000000000002,505602190.65999997,107.84,220.09471730656318,Jawa Barat,138.06471730656318
1590,D.I. Cileleuy,2021-07,44.650000000000006,0.43548387096774194,21.675806451612925,30.871935483870985,26.03838709677422,601797866.17,126.37,204.19881929397866,Jawa Barat,159.54881929397865
1663,D.I. Cipamingkis,2021-08,89.44,0.35,21.603870967741955,30.626129032258085,26.010967741935502,620994592.57,130.31,252.72703971097494,Jawa Barat,163.28703971097494
1688,D.I. Cipanas II,2021-09,24.549999999999997,0.193,24.67133333333336,33.21133333333336,28.453666666666685,628330893.34,98.78,83.41802425957698,Jawa Barat,58.868024259576984
1710,D.I. Cipancuh,2021-07,44.08,0.2890322580645161,22.33870967741938,31.28870967741938,26.556129032258085,604534870.75,122.64,156.7463873265306,Jawa Barat,112.6663873265306
1712,D.I. Cipancuh,2021-09,31.12,0.2613333333333333,24.173666666666694,33.47333333333335,28.335666666666686,658343078.4399999,90.84,128.34931024075442,Jawa Barat,97.22931024075442
1806,D.I. Colo,2021-07,35.97,0.41419354838709677,21.715806451612927,31.617096774193573,26.353548387096794,579100828.88,104.61,173.09046152172633,Jawa Tengah,137.12046152172633
1819,D.I. Colo,2022-08,58.85,0.41903225806451616,22.130967741935503,31.175483870967767,26.153225806451637,584543615.21,104.59,189.7707336987609,Jawa Tengah,130.9207336987609
1830,D.I. Comal,2021-07,33.65,0.2796774193548387,23.61387096774196,29.60870967741938,26.45290322580648,584823281.22,116.84,129.50401581133752,Jawa Tengah,95.85401581133752
1851,D.I. Danau Tua,2021-04,34.09,0.43633333333333335,25.052333333333358,29.028666666666695,26.949333333333353,583938391.99,141.95,285.61313528176345,Nusa Tenggara Timur,251.52313528176344
1852,D.I. Danau Tua,2021-05,1.96,0.3132258064516129,26.175483870967767,29.754516129032282,27.6935483870968,617880295.8100001,84.1,205.3937615596458,Nusa Tenggara Timur,203.4337615596458
1853,D.I. Danau Tua,2021-06,22.89,0.26466666666666666,25.372000000000025,29.437666666666686,27.073333333333363,548630332.66,53.46,173.95572508127523,Nusa Tenggara Timur,151.06572508127522
1854,D.I. Danau Tua,2021-07,7.42,0.24387096774193548,24.885483870967768,29.563548387096798,26.877096774193568,608336031.82,41.0,168.50985981650496,Nusa Tenggara Timur,161.08985981650497
1855,D.I. Danau Tua,2021-08,0.0,0.23225806451612904,25.244516129032277,29.87000000000002,27.19709677419357,663971692.37,38.7,161.6469890146758,Nusa Tenggara Timur,161.6469890146758
1856,D.I. Danau Tua,2021-09,2.37,0.23,25.808666666666692,30.80166666666669,27.911000000000016,694285278.16,35.53,159.5322441859158,Nusa Tenggara Timur,157.1622441859158
1857,D.I. Danau Tua,2021-10,53.38,0.23,26.245161290322606,32.32000000000002,28.866774193548412,779514905.22,40.33,168.58944546539215,Nusa Tenggara Timur,115.20944546539215
